© 2000-2023 QIAGEN. All rights reserved.				
Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
IL-15 Signaling	0	0.0606	2.53	"AKT3,GNB1L,IGHA2,IGHV1-18,IGHV1-2,IGHV1-3,IGHV1-69,IGHV2-26,IGHV3-15,IGHV3-35,IGHV3-38,IGHV3-72,IGHV4-34,IGHV6-1,IGKV2D-29,IGKV3-20,IGLV1-47,IGLV1-51,IGLV2-8,IGLV3-21,IGLV4-69,IGLV6-57,IGLV7-46,IGLV8-61,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS"
Role of Cytokines in Mediating Communication between Immune Cells	0	0.111	#NUM!	"IL18,IL1B,IL1RN,IL32,IL33,TGFB1"
Dendritic Cell Maturation	0	0.052	4.382	"AKT3,ATF2,CHUK,COL2A1,CREB3L4,FCER1G,FCGR3A/FCGR3B,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IL18,IL1B,IL1RN,IL32,IL33,MYD88,NGFR,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,STAT4,TNFRSF1B,TRAF6,TYROBP"
Cardiomyocyte Differentiation via BMP Receptors	0	0.0741	#NUM!	"ATF2,SMAD5"
Semaphorin Signaling in Neurons	0	0.082	#NUM!	"CRMP1,FYN,PAK6,RHOB,RHOT1"
ICOS-ICOSL Signaling in T Helper Cells	0	0.0355	2.887	"AKT3,CHP1,CHUK,FCER1G,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,ICOSLG/LOC102723996,ITPR2,ITPR3,NFATC3,PIK3C3,PIK3CB,PIK3R2,VAV1"
Lipid Antigen Presentation by CD1	0	0.00482	#NUM!	"FCER1G,PDIA3"
Maturity Onset Diabetes of Young (MODY) Signaling	0	0.101	#NUM!	"ALDOB,APOC4,APOL2,APOO,FABP1,FOXA2,HNF1A,PKLR"
CREB Signaling in Neurons	0	0.084	3.395	"ADCY3,ADGRA1,ADGRE3,ADGRF5,ADGRG3,ADGRL3,AKT3,ATF2,CCR10,CREB3L4,ELK1,FLT1,FZD5,FZD6,FZD7,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,GPR180,GPR89A/GPR89B,GPRC5C,ITPR2,ITPR3,LGR4,LTB4R,NGFR,PDGFRB,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,POLR2L,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SLC52A2,SOS2,TGFB1"
Type I Diabetes Mellitus Signaling	0	0.0334	1.897	"CHUK,FCER1G,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IFNGR1,IL1B,MAP2K3,MAP2K6,MYD88,NGFR,PTPRN,TNFRSF1B,TRAF6"
Primary Immunodeficiency Signaling	0	0.0847	#NUM!	"CD8A,RFX5,RFXAP,TAP2,UNG"
Allograft Rejection Signaling	0	0.0144	#NUM!	"FCER1G,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4"
Autoimmune Thyroid Disease Signaling	0	0.0153	#NUM!	"FCER1G,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4"
Graft-versus-Host Disease Signaling	0	0.0247	#NUM!	"FCER1G,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IL18,IL1B,IL1RN,IL33"
p70S6K Signaling	0	0.0775	1.091	"AKT3,IGHA2,IGHV1-18,IGHV1-2,IGHV1-3,IGHV1-69,IGHV2-26,IGHV3-15,IGHV3-35,IGHV3-38,IGHV3-72,IGHV4-34,IGHV6-1,IGKV2D-29,IGKV3-20,IGLV1-47,IGLV1-51,IGLV2-8,IGLV3-21,IGLV4-69,IGLV6-57,IGLV7-46,IGLV8-61,MAPT,PDIA3,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PPM1L,PPP2CA,PPP2CB,PPP2R1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,SOS2,YWHAQ,YWHAZ"
G Protein Signaling Mediated by Tubby	0	0.0363	1.387	"FCER1G,FYB1,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,IFT140,IFT43,PLCB1,PLCB3,TTC21B,VAV1,WDR35"
Communication between Innate and Adaptive Immune Cells	0	0.0343	#NUM!	"CD8A,FCER1G,HLA-A,HLA-DRB1,HLA-DRB4,IGHA2,IGHV1-18,IGHV1-2,IGHV1-3,IGHV1-69,IGHV2-26,IGHV3-15,IGHV3-35,IGHV3-38,IGHV3-72,IGHV4-34,IGHV6-1,IGKV2D-29,IGKV3-20,IGLV1-47,IGLV1-51,IGLV2-8,IGLV3-21,IGLV4-69,IGLV6-57,IGLV7-46,IGLV8-61,IL18,IL1B,IL1RN,IL33,TLR8"
Crosstalk between Dendritic Cells and Natural Killer Cells	0	0.0989	1.89	"ACTB,CD209,CD69,HLA-A,HLA-DRB1,HLA-DRB4,IL18,TNFRSF1B,TYROBP"
Systemic Lupus Erythematosus Signaling	0	0.0515	#NUM!	"AKT3,FCER1G,FCGR3A/FCGR3B,FOS,HLA-A,IGHA2,IGHV1-18,IGHV1-2,IGHV1-3,IGHV1-69,IGHV2-26,IGHV3-15,IGHV3-35,IGHV3-38,IGHV3-72,IGHV4-34,IGHV6-1,IGKV2D-29,IGKV3-20,IGLV1-47,IGLV1-51,IGLV2-8,IGLV3-21,IGLV4-69,IGLV6-57,IGLV7-46,IGLV8-61,IL18,IL1B,IL1RN,IL33,JUN,KLK1,LSM5,NFATC3,PIK3C3,PIK3CB,PIK3R2,PRPF38B,PRPF39,PRPF40A,PRPF4B,PRPF6,RAP1A,RAP1B,RAP2A,RNPC3,RRAS,SF3B4,SNRNP27,SNRNP40,SNRPC,SNU13,SOS2,ZCRB1"
CDC42 Signaling	0	0.0486	2	"ATF2,BAIAP2,CDC42SE1,DIAPH1,FCER1G,FOS,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IQGAP3,ITGA2B,ITGB2,ITGB4,ITGB5,JUN,MPRIP,MYL6,MYL9,MYLK,PARD3,PPP1R12A,PPP1R12B,PRKCI,VAV1,WIPF1"
FAK Signaling	0	0.0567	4.296	"ADGRA1,ADGRE3,ADGRF5,ADGRG3,ADGRL3,AKT3,CCR10,COL2A1,ELF1,ELF2,ELF3,ERBB2,FCER1G,FLT1,FOS,FYN,FZD5,FZD6,FZD7,GPR180,GPR89A/GPR89B,GPRC5C,HNF1A,IL13RA1,IL1R2,IL33,IL6ST,ITGA2B,ITGB2,ITGB4,ITGB5,JUN,KIT,LGR4,LTB4R,MMP9,NCOA3,NEDD9,PAK6,PDGFRB,PIK3C3,PIK3CB,PIK3R2,PTPRA,RAP1A,RAP1B,RAP2A,RB1CC1,RRAS,SDCBP,SHB,SLC52A2,SOS2,TCF3,TCF7L2,TGFB1,TP53,USF1,WIPF1"
Phospholipase C Signaling	0	0.0571	1.976	"ADCY3,ARHGEF18,ARHGEF2,ATF2,CHP1,CREB3L4,FCER1G,FYN,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HDAC5,IGHA2,IGHV1-18,IGHV1-2,IGHV1-3,IGHV1-69,IGHV2-26,IGHV3-15,IGHV3-35,IGHV3-38,IGHV3-72,IGHV4-34,IGHV6-1,IGKV2D-29,IGKV3-20,IGLV1-47,IGLV1-51,IGLV2-8,IGLV3-21,IGLV4-69,IGLV6-57,IGLV7-46,IGLV8-61,ITGA2B,ITGB2,ITGB4,ITGB5,ITPR2,ITPR3,MARCKS,MPRIP,MYL6,MYL9,NFATC3,PLA2G12B,PLA2G2A,PLCB1,PLCB3,PPP1R12A,PPP1R12B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RHOB,RHOT1,RRAS,SOS2"
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	0	0.0404	#NUM!	"CHUK,FCER1G,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IGHA2,IGHV1-18,IGHV1-2,IGHV1-3,IGHV1-69,IGHV2-26,IGHV3-15,IGHV3-35,IGHV3-38,IGHV3-72,IGHV4-34,IGHV6-1,IGKV2D-29,IGKV3-20,IGLV1-47,IGLV1-51,IGLV2-8,IGLV3-21,IGLV4-69,IGLV6-57,IGLV7-46,IGLV8-61,IL18,IL1B,IL1RN,IL33,PRTN3,TGFB1,TLR8,TRAF3"
Granzyme B Signaling	0	0.0625	#NUM!	NUMA1
B Cell Development	0	0.0573	#NUM!	"HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IGHA2,IGHV1-18,IGHV1-2,IGHV1-3,IGHV1-69,IGHV2-26,IGHV3-15,IGHV3-35,IGHV3-38,IGHV3-72,IGHV4-34,IGHV6-1,IGKV2D-29,IGKV3-20,IGLV1-47,IGLV1-51,IGLV2-8,IGLV3-21,IGLV4-69,IGLV6-57,IGLV7-46,IGLV8-61"
Breast Cancer Regulation by Stathmin1	0	0.108	2.689	"ADGRA1,ADGRE3,ADGRF5,ADGRG3,ADGRL3,ANKHD1/ANKHD1-EIF4EBP3,ARHGEF18,ARHGEF2,ATF2,AURKA,AURKB,CCND2,CCR10,CDK1,CDK2,CREB3L4,E2F3,FZD5,FZD6,FZD7,GNB1,GNB1L,GNB3,GNG11,GNG4,GPR180,GPR89A/GPR89B,GPRC5C,JUN,LGR4,LTB4R,MMP9,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PPM1L,PPP1CC,PPP1R12A,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1B,PRKAR1B,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RB1CC1,RRAS,SLC52A2,SOS2,TGFB1,TP53,TUBA3C/TUBA3D,TUBA4A,TUBB,TUBB1,TUBB4A,TUBG1"
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	0	0.0346	3	"CHP1,CHUK,ELK1,FCER1G,FOS,FYN,JUN,MALT1,NFATC3,RAP1A,RAP1B,RAP2A,RRAS,SOS2,TGFB1,VAV1"
TWEAK Signaling	0	0.108	-1	"BAG4,CHUK,TRAF1,TRAF3"
NUR77 Signaling in T Lymphocytes	0	0.0253	0.378	"CHP1,FCER1G,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,PRKCE,PRKCG,PRKCI,SIN3A,SIN3B"
PKCθ Signaling in T Lymphocytes	0	0.0466	4.146	"CHP1,CHUK,FCER1G,FOS,FYN,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,ITPR2,ITPR3,JUN,MALT1,MAP3K6,NFATC3,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2,VAV1"
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	0	0.0909	1.342	"AKT3,IRF3,KPNA3,PIK3C3,PIK3CB,PIK3R2"
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	0	0.093	2.121	"IL18,IL1B,IL1RN,IL33,IRF3,MYD88,OAS2,OAS3"
Antiproliferative Role of TOB in T Cell Signaling	0	0.0117	1	"CDK2,FCER1G,RB1,TGFB1,TWSG1"
OX40 Signaling Pathway	0	0.0209	1	"FCER1G,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,JUN,TRAF3,TRAF5"
PI3K Signaling in B Lymphocytes	0	0.088	4.041	"AKT3,ATF2,ATF6,C3,CD81,CHP1,CHUK,DAPP1,ELK1,FOS,FOXO3,FYN,IGHA2,IGHV1-18,IGHV1-2,IGHV1-3,IGHV1-69,IGHV2-26,IGHV3-15,IGHV3-35,IGHV3-38,IGHV3-72,IGHV4-34,IGHV6-1,IGKV2D-29,IGKV3-20,IGLV1-47,IGLV1-51,IGLV2-8,IGLV3-21,IGLV4-69,IGLV6-57,IGLV7-46,IGLV8-61,IRS2,ITPR2,ITPR3,JUN,MALT1,NFATC3,PDIA3,PIK3CB,PIK3R2,PLCB1,PLCB3,PLCZ1,PRKCI,RAP1A,RAP1B,RAP2A,RRAS,VAV1"
Extrinsic Prothrombin Activation Pathway	0	0.0625	#NUM!	F13A1
MIF-mediated Glucocorticoid Regulation	0	0.0833	#NUM!	"PLA2G12B,PLA2G2A,PTGS2"
IL-17A Signaling in Gastric Cells	0	0.115	#NUM!	"CCL20,FOS,JUN"
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	0	0.0556	#NUM!	IL1B
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	0	0.087	#NUM!	"IL1B,LCN2"
"Role of JAK1, JAK2 and TYK2 in Interferon Signaling"	0	0.0769	#NUM!	"IFNGR1,PTPN2"
Role of JAK2 in Hormone-like Cytokine Signaling	0	0.0645	2	"CCND2,FOS,HLTF,IRS2"
Role of JAK family kinases in IL-6-type Cytokine Signaling	0	0.114	1	"FOS,IL6ST,MCL1,MMP1,OSMR,SERPINA1,SERPINA5,TGFB1,VIP"
Role of JAK1 and JAK3 in γc Cytokine Signaling	0	0.116	#NUM!	"IRS2,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS"
Hematopoiesis from Pluripotent Stem Cells	0	0.00674	#NUM!	"CD8A,FCER1G,KITLG"
Hematopoiesis from Multipotent Stem Cells	0	0.0833	#NUM!	KITLG
nNOS Signaling in Skeletal Muscle Cells	0	0.0833	#NUM!	"DMD,ITPR2,ITPR3,NOS1"
Netrin Signaling	0	0.0833	0	"ABLIM3,CHP1,ITPR2,ITPR3,NFATC3,PRKAR1B"
Bupropion Degradation	0	0.04	#NUM!	CYP51A1
NAD biosynthesis II (from tryptophan)	0	0.0769	#NUM!	IDO1
Nicotine Degradation III	0	0.0862	0.447	"AOX1,CYP51A1,EXT2,UGT1A6,UGT2B17"
Dopamine Degradation	0	0.0938	#NUM!	"ALDH1A1,SULT1A2,SULT1A3/SULT1A4"
Androgen Biosynthesis	0	0.0952	#NUM!	"EBP,HSD3B7"
Ubiquinol-10 Biosynthesis (Eukaryotic)	0	0.0645	#NUM!	"COQ2,CYP7B1"
Ketogenesis	0	0.0909	#NUM!	HMGCS2
tRNA Splicing	0	0.109	1.342	"PDE3A,PDE4D,PDE7A,TSEN2,TSEN34"
Melatonin Degradation I	0	0.0968	0	"CYP51A1,EXT2,SULT1A2,SULT1A3/SULT1A4,UGT1A6,UGT2B17"
Phosphatidylethanolamine Biosynthesis II	0	0.111	#NUM!	SELENOI
Triacylglycerol Degradation	0	0.102	2.236	"ABHD16A,ABHD2,DTD2,LPL,NDST1,TNFAIP6"
Choline Biosynthesis III	0	0.0667	#NUM!	PHKA1
Estrogen Biosynthesis	0	0.0667	#NUM!	"AKR1C1/AKR1C2,CYP51A1,DHRS11"
"Tryptophan Degradation X (Mammalian, via Tryptamine)"	0	0.037	#NUM!	ALDH1A1
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	0	0.0588	#NUM!	INPP5B
tRNA Charging	0	0.103	2	"HARS2,MARS2,NARS1,TARS3"
Calcium Transport I	0	0.1	#NUM!	ATP2B3
Pentose Phosphate Pathway	0	0.0909	#NUM!	TKTL1
Nicotine Degradation II	0	0.0909	0.816	"AOX1,CYP51A1,EXT2,FMO3,UGT1A6,UGT2B17"
Mevalonate Pathway I	0	0.0714	#NUM!	HMGCS2
"Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism"	0	0.0909	#NUM!	"INPP5B,MINPP1"
Purine Nucleotides Degradation II (Aerobic)	0	0.105	#NUM!	"IMPDH1,LACC1"
Mitochondrial L-carnitine Shuttle Pathway	0	0.105	#NUM!	"ACSL1,SLC27A6"
Leucine Degradation I	0	0.111	#NUM!	MCCC2
"Phenylalanine Degradation IV (Mammalian, via Side Chain)"	0	0.0714	#NUM!	ACSF3
"Bile Acid Biosynthesis, Neutral Pathway"	0	0.111	#NUM!	"AKR1C1/AKR1C2,HSD3B7"
"D-myo-inositol (1,4,5)-trisphosphate Degradation"	0	0.0625	#NUM!	INPP5B
Retinol Biosynthesis	0	0.0213	#NUM!	LPL
γ-glutamyl Cycle	0	0.0769	#NUM!	OPLAH
Heme Biosynthesis II	0	0.111	#NUM!	ALAS1
Purine Ribonucleosides Degradation to Ribose-1-phosphate	0	0.111	#NUM!	LACC1
Pyrimidine Ribonucleotides Interconversion	0	0.0789	#NUM!	"CTPS1,ENTPD6,PCK1"
Methylglyoxal Degradation III	0	0.0625	#NUM!	"AKR1C1/AKR1C2,DHRS11"
Histamine Degradation	0	0.0476	#NUM!	ALDH1A1
Guanosine Nucleotides Degradation III	0	0.0769	#NUM!	LACC1
Adenosine Nucleotides Degradation II	0	0.0625	#NUM!	LACC1
Superpathway of Melatonin Degradation	0	0.104	0.378	"CYP51A1,EXT2,MPO,SULT1A2,SULT1A3/SULT1A4,UGT1A6,UGT2B17"
Histidine Degradation VI	0	0.0357	#NUM!	CYP7B1
Stearate Biosynthesis I (Animals)	0	0.0857	0.447	"ACSL1,DHCR24,DHRS11,LPGAT1,SLC27A6,TBXAS1"
Pregnenolone Biosynthesis	0	0.037	#NUM!	CYP7B1
Acetone Degradation I (to Methylglyoxal)	0	0.0465	#NUM!	"CYP51A1,DHRS11"
Putrescine Degradation III	0	0.0455	#NUM!	ALDH1A1
Fatty Acid α-oxidation	0	0.0952	#NUM!	"ALDH1A1,PTGS2"
Oxidative Ethanol Degradation III	0	0.0351	#NUM!	"ACSL1,ALDH1A1"
Ethanol Degradation IV	0	0.08	#NUM!	"ACSL1,ALDH1A1"
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	0	0.111	#NUM!	"GGPS1,HMGCS2"
Antioxidant Action of Vitamin C	0	0.114	-1.667	"CHUK,GSTO2,LCAT,PDIA3,PLA2G12B,PLA2G2A,PLCB1,PLCB3,PLCZ1,PNPLA8,SLC2A1,SLC2A3,SLC2A8"
Gαi Signaling	0	0.114	0.577	"ADCY3,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,LTB4R,PRKAR1B,RAP1A,RAP1B,RAP2A,RRAS,SOS2"
TEC Kinase Signaling	0	0.0554	3.273	"ACTB,FCER1G,FGR,FOS,FYN,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,HCK,ITGA2B,ITGB2,ITGB4,ITGB5,PAK6,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RHOB,RHOT1,STAT4,TNFRSF10A,TNFRSF10B,TNFRSF21,VAV1"
STAT3 Pathway	0	0.0963	1.265	"FLT1,IL13RA1,IL1B,IL1R2,IL6ST,NGFR,PDGFRB,PTPN2,RAP1A,RAP1B,RAP2A,RRAS,TGFB1"
SAPK/JNK Signaling	0	0.0498	2.711	"ATF2,DAXX,ELK1,FCER1G,GNB1,GNB1L,GNB3,GNG11,GNG4,HNRNPK,JUN,MAP4K1,MAP4K2,MAP4K4,MAP4K5,NFATC3,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,SOS2,TP53"
Nitric Oxide Signaling in the Cardiovascular System	0	0.108	1.732	"AKT3,ARG2,FLT1,ITPR2,ITPR3,PIK3C3,PIK3CB,PIK3R2,PLN,PRKAR1B,PRKCE,PRKCG,PRKCI"
FGF Signaling	0	0.105	2.333	"AKT3,ATF2,CREB3L4,MAP2K3,MAP2K6,PIK3C3,PIK3CB,PIK3R2,SOS2"
Endoplasmic Reticulum Stress Pathway	0	0.0476	#NUM!	ATF6
GABA Receptor Signaling	0	0.0985	#NUM!	"ADCY3,GABARAP,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,ITPR2,ITPR3,KCNN4"
IL-4 Signaling	0	0.0572	4.7	"AKT3,ANO1,ARG1,ATF2,COL11A1,COL12A1,COL28A1,COL2A1,COL4A2,COL8A1,CREB3L4,FCER1G,GNB1L,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,IL13RA1,IRS2,MAPKAP1,PIK3C3,PIK3CB,PIK3R2,PRR5L,RAP1A,RAP1B,RAP2A,RICTOR,RPS6KB2,RRAS,SOS2,TGFB1"
B Cell Receptor Signaling	0	0.0724	3.545	"AKT3,ATF2,CHUK,CREB3L4,DAPP1,ELK1,IGHA2,IGHV1-18,IGHV1-2,IGHV1-3,IGHV1-69,IGHV2-26,IGHV3-15,IGHV3-35,IGHV3-38,IGHV3-72,IGHV4-34,IGHV6-1,IGKV2D-29,IGKV3-20,IGLV1-47,IGLV1-51,IGLV2-8,IGLV3-21,IGLV4-69,IGLV6-57,IGLV7-46,IGLV8-61,INPP5B,JUN,MALT1,MAP2K3,MAP2K6,MAP3K6,NFATC3,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,SOS2,TCF3,VAV1"
Serotonin Receptor Signaling	0	0.0222	#NUM!	ADCY3
Phototransduction Pathway	0	0.0741	#NUM!	"GNB1,GNB3,GUCA2B,PRKAR1B"
Sonic Hedgehog Signaling	0	0.0645	#NUM!	"CDK1,PRKAR1B"
cAMP-mediated signaling	0	0.0678	1.941	"ADCY3,AKAP17A,AKAP8,ATF2,CREB3L4,DUSP6,GNAS,LTB4R,PALM2AKAP2,PDE3A,PDE4D,PDE7A,PKIB,PKIG,PRKAR1B,RAP1A"
NF-κB Signaling	0	0.0578	3.307	"AKT3,AZI2,CHUK,CSNK2A1,CSNK2A2,FCER1G,FLT1,IL18,IL1B,IL1R2,IL1RN,IL33,MALT1,MAP2K6,MAP4K4,MYD88,NGFR,PDGFRB,PELI1,PIK3C3,PIK3CB,PIK3R2,RAP1A,RAP1B,RAP2A,RRAS,TAB3,TLR8,TNFRSF1B,TNIP1,TRAF3,TRAF5,TRAF6"
T Cell Receptor Signaling	0	0.0633	4.003	"AKT3,ATF2,CD8A,CHP1,CHUK,DUSP6,ELK1,FCER1G,FOS,FOXO3,FYB1,FYN,GNB1L,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,HNF1A,ICOSLG/LOC102723996,ITGB2,JUN,MALT1,MAP2K3,MAP2K6,NFATC3,PIK3C3,PIK3CB,PIK3R2,PTPN7,RAP1A,RAP1B,RAP2A,RRAS,SOS2,TCF3,TCF7L2,VAV1"
G-Protein Coupled Receptor Signaling	0	0.0925	2.605	"ADCY3,ADGRA1,ADGRE3,ADGRF5,ADGRG3,ADGRL3,AKT3,AMOT,ATF2,CCR10,CHP1,CHUK,CREB3L4,DUSP6,FOS,FOXO3,FYN,FZD5,FZD6,FZD7,GNA14,GNA15,GNAS,GNB1,GNB1L,GNB3,GNG11,GNG4,GPR180,GPR89A/GPR89B,GPRC5C,GPRIN1,JUN,KCNN4,LATS1,LGR4,LTB4R,MAP2K3,MAP2K6,MAP3K6,MEGF6,MKNK1,MYL6,MYL9,MYLK,NFATC3,PAK6,PDE3A,PDE4D,PDE7A,PIK3C3,PIK3CB,PIK3R2,PLCB1,PLCB3,PRKAR1B,PRKCE,PRKCG,RAP1A,RAP1B,RAP2A,RRAS,SLC52A2,SOS2,TTN"
Gustation Pathway	0	0.0591	0.577	"ADCY3,GCG,GNB3,ITPR2,ITPR3,KCNN4,LPL,LRRC8E,PDE3A,PRKAR1B,SCN7A,SLC5A1"
Phagosome Formation	0	0.105	3.628	"ADGRA1,ADGRE3,ADGRF5,ADGRG3,ADGRL3,AKT3,AP1M1,AP1S1,AP1S2,AP1S3,C3,CCR10,CD209,DIAPH1,FCER1G,FCGR3A/FCGR3B,FGR,FYN,FZD5,FZD6,FZD7,GPR180,GPR89A/GPR89B,GPRC5C,HCK,ITGA2B,ITGB2,ITGB4,ITGB5,ITPR2,ITPR3,LCAT,LGR4,LTB4R,MALT1,MAP2K3,MAP2K6,MARCKS,MSR1,MYD88,MYH14,MYH4,MYL6,MYL9,MYLK,MYO10,PAK6,PIK3C3,PIK3CB,PIK3R2,PIP5K1A,PIP5K1B,PIP5K1C,PLA2G12B,PLA2G2A,PNPLA8,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RPS6KB2,RRAS,SCARA5,SLC52A2,SOS2,SPHK2,TLR8,TTN,VAV1,WASF1,WIPF1"
Th17 Activation Pathway	0	0.0186	2.121	"CCL20,FCER1G,IL1B,IL23R,MYD88,NFATC3,RUNX1,STAT4,TRAF6"
Endocannabinoid Neuronal Synapse Pathway	0	0.114	1.387	"ADCY3,CHP1,GNA14,GNA15,GNB1,GNB1L,GNB3,GNG11,GNG4,ITPR2,ITPR3,PDIA3,PLCB1,PLCB3,PLCZ1,PRKAR1B,PTGS2"
Apelin Liver Signaling Pathway	0	0.0741	#NUM!	"COL2A1,PDGFRB"
T Cell Exhaustion Signaling Pathway	0	0.0476	1	"AKT3,CD274,FCER1G,FOS,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,JUN,MGAT5,NFATC3,PIK3C3,PIK3CB,PIK3R2,PPM1L,PPP2CA,PPP2CB,PPP2R1B,RAP1A,RAP1B,RAP2A,RRAS,STAT4,TGFB1,TNFRSF14"
Systemic Lupus Erythematosus In T Cell Signaling Pathway	0	0.0622	0.632	"AKT3,ATF2,CASP14,CASP2,CASP4,CHP1,CREB3L4,DNMT1,ELF1,FCER1G,FOS,GNB1L,HLA-A,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRB1,HLA-DRB4,ICOSLG/LOC102723996,JUN,MAP2K3,MAP2K6,NOS1,PIK3C3,PIK3CB,PIK3R2,PPM1L,PPP2CA,PPP2CB,PPP2R1B,RAP1A,RAP1B,RAP2A,RDX,RHOB,RHOT1,RPS6KB2,RRAS,SOS2,VAV1"
Systemic Lupus Erythematosus In B Cell Signaling Pathway	0	0.0883	4.32	"AKT3,CCND2,CHP1,FGR,FOS,FOXO3,FYN,HCK,IFNGR1,IGHA2,IGHV1-18,IGHV1-2,IGHV1-3,IGHV1-69,IGHV2-26,IGHV3-15,IGHV3-35,IGHV3-38,IGHV3-72,IGHV4-34,IGHV6-1,IGKV2D-29,IGKV3-20,IGLV1-47,IGLV1-51,IGLV2-8,IGLV3-21,IGLV4-69,IGLV6-57,IGLV7-46,IGLV8-61,IL18,IL1B,IL33,IL6ST,INPP5B,IRF3,JUN,MALT1,MAP4K4,MCL1,MYD88,NFATC3,PIK3C3,PIK3CB,PIK3R2,PRKCE,PRKCG,PRKCI,RAP1A,RAP1B,RAP2A,RASGRP2,RRAS,SHF,SOS2,STING1,TGFB1,TLR8,TRAF1,TRAF3,TRAF5,TRAF6,VAV1"
White Adipose Tissue Browning Pathway	0	0.116	1.604	"ADCY3,ATF2,CAMP,CEBPB,CREB3L4,CTBP1,FCER1G,GNAS,ITPR2,ITPR3,LDHA,PLIN1,PRKAA2,PRKAB1,PRKAR1B,VGF"
Calcium Signaling	0	0.105	2.309	"ATF2,ATP2B3,CHP1,CREB3L4,HDAC5,ITPR2,ITPR3,MCU,MICU1,MYH14,MYH4,MYL6,MYL9,MYO10,NFATC3,PRKAR1B,RAP1A,RAP1B,RAP2A,SLC8A1,SLC8B1,TPM1,TPM2"
