	Comparison	Taxa	Method	Group	LDA	P.unadj	P.adj	Significance
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Viridibacillus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Viridibacillus	LEfSe	3	1.465274497	1.13E-11	1.13E-11	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Curvibacter|s_Curvibacter sp. AEP1-3	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Curvibacter|s_Curvibacter sp. AEP1-3	LEfSe	1	1.464282683	0.026989147	0.026989147	*
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Microbacterium|s_Microbacterium chengjingii	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Microbacterium|s_Microbacterium chengjingii	LEfSe	1	1.46272565	1.02E-05	1.02E-05	***
d_Bacteria|p_Cyanobacteria|c_NA|o_Nostocales|f_Hapalosiphonaceae|g_Fischerella	1 - 2 - 3 - 4	d_Bacteria|p_Cyanobacteria|c_NA|o_Nostocales|f_Hapalosiphonaceae|g_Fischerella	LEfSe	1	1.461553507	3.18E-05	3.18E-05	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Rhodoferax|s_Rhodoferax ferrireducens	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Rhodoferax|s_Rhodoferax ferrireducens	LEfSe	1	1.460848623	0.0030788	0.0030788	**
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Limnobacter|s_Limnobacter sp. SAORIC-580	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Limnobacter|s_Limnobacter sp. SAORIC-580	LEfSe	1	1.459746218	6.25E-08	6.25E-08	***
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae|g_Sodaliphilus	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae|g_Sodaliphilus	LEfSe	3	1.458044124	1.76E-07	1.76E-07	***
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Myxococcales|f_Sandaracinaceae|g_Sandaracinus	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Myxococcales|f_Sandaracinaceae|g_Sandaracinus	LEfSe	3	1.457645608	2.41E-14	2.41E-14	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_Chryseobacterium taklimakanense	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_Chryseobacterium taklimakanense	LEfSe	1	1.457148513	8.70E-07	8.70E-07	***
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae|g_Parolsenella|s_Parolsenella catena	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae|g_Parolsenella|s_Parolsenella catena	LEfSe	3	1.456591284	1.63E-13	1.63E-13	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Desulfitobacteriaceae|g_Desulfitobacterium	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Desulfitobacteriaceae|g_Desulfitobacterium	LEfSe	3	1.456409672	1.34E-14	1.34E-14	***
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae|g_Atopobium|s_Atopobium sp. oral taxon 416	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae|g_Atopobium|s_Atopobium sp. oral taxon 416	LEfSe	3	1.455623672	1.12E-12	1.12E-12	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Frondihabitans	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Microbacteriaceae|g_Frondihabitans	LEfSe	1	1.45528375	4.03E-05	4.03E-05	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Sutterellaceae|g_Turicimonas|s_Turicimonas muris	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Sutterellaceae|g_Turicimonas|s_Turicimonas muris	LEfSe	3	1.45482134	6.78E-06	6.78E-06	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_Chryseobacterium sp. F4	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_Chryseobacterium sp. F4	LEfSe	1	1.454733052	0.000114884	0.000114884	***
d_Bacteria|p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Treponemataceae|g_Treponema|s_Treponema parvum	1 - 2 - 3 - 4	d_Bacteria|p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Treponemataceae|g_Treponema|s_Treponema parvum	LEfSe	3	1.454567131	8.65E-08	8.65E-08	***
d_Fungi|p_Ascomycota|c_Saccharomycetes|o_Saccharomycetales|f_Saccharomycetaceae|g_Nakaseomyces	1 - 2 - 3 - 4	d_Fungi|p_Ascomycota|c_Saccharomycetes|o_Saccharomycetales|f_Saccharomycetaceae|g_Nakaseomyces	LEfSe	1	1.453943168	3.58E-06	3.58E-06	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium smegmatis	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium smegmatis	LEfSe	1	1.453688517	8.14E-07	8.14E-07	***
d_Bacteria|p_Thermotogae|c_Thermotogae|o_Petrotogales|f_Petrotogaceae|g_Tepiditoga|s_Tepiditoga spiralis	1 - 2 - 3 - 4	d_Bacteria|p_Thermotogae|c_Thermotogae|o_Petrotogales|f_Petrotogaceae|g_Tepiditoga|s_Tepiditoga spiralis	LEfSe	1	1.453545066	1.48E-06	1.48E-06	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus polymyxa	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Paenibacillus|s_Paenibacillus polymyxa	LEfSe	3	1.453356789	1.30E-10	1.30E-10	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Herbinix|s_Herbinix luporum	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Lachnospiraceae|g_Herbinix|s_Herbinix luporum	LEfSe	3	1.452573953	5.16E-13	5.16E-13	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Bradyrhizobiaceae|g_Bradyrhizobium|s_Bradyrhizobium sp. 200	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Bradyrhizobiaceae|g_Bradyrhizobium|s_Bradyrhizobium sp. 200	LEfSe	1	1.452435858	0.016309462	0.016309462	*
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Nonlabens|s_Nonlabens marinus	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Nonlabens|s_Nonlabens marinus	LEfSe	1	1.451769465	1.52E-14	1.52E-14	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium arabiense	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium arabiense	LEfSe	1	1.451707657	4.19E-05	4.19E-05	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces radicidentis	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces radicidentis	LEfSe	1	1.451261602	4.62E-06	4.62E-06	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micromonosporales|f_Micromonosporaceae|g_Dactylosporangium	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micromonosporales|f_Micromonosporaceae|g_Dactylosporangium	LEfSe	1	1.450333434	1.46E-08	1.46E-08	***
d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Leptotrichia shahii	1 - 2 - 3 - 4	d_Bacteria|p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Leptotrichia shahii	LEfSe	3	1.447782934	9.00E-08	9.00E-08	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Clostridiaceae|g_Alkaliphilus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Eubacteriales|f_Clostridiaceae|g_Alkaliphilus	LEfSe	3	1.44741015	8.52E-10	8.52E-10	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingosinicellaceae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingosinicellaceae	LEfSe	3	1.446942756	4.56E-10	4.56E-10	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Nocardiaceae|g_Nocardia|s_Nocardia asteroides	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Nocardiaceae|g_Nocardia|s_Nocardia asteroides	LEfSe	1	1.446941832	5.22E-07	5.22E-07	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Mannheimia|s_Mannheimia haemolytica	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Mannheimia|s_Mannheimia haemolytica	LEfSe	1	1.446874622	0.002273858	0.002273858	**
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Gardnerella	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Gardnerella	LEfSe	3	1.446795965	2.54E-07	2.54E-07	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Empedobacter|s_Empedobacter falsenii	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Empedobacter|s_Empedobacter falsenii	LEfSe	1	1.445880108	1.90E-08	1.90E-08	***
d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Cytophagaceae	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Cytophagaceae	LEfSe	3	1.444983297	1.07E-12	1.07E-12	***
d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Allobaculum	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Allobaculum	LEfSe	3	1.444866089	2.31E-16	2.31E-16	***
d_Bacteria|p_Cyanobacteria|c_NA|o_Oscillatoriales|f_Microcoleaceae|g_Planktothrix	1 - 2 - 3 - 4	d_Bacteria|p_Cyanobacteria|c_NA|o_Oscillatoriales|f_Microcoleaceae|g_Planktothrix	LEfSe	1	1.444336521	2.42E-05	2.42E-05	***
d_Fungi|p_Ascomycota|c_Saccharomycetes|o_Saccharomycetales|f_Saccharomycetaceae|g_Naumovozyma|s_Naumovozyma dairenensis	1 - 2 - 3 - 4	d_Fungi|p_Ascomycota|c_Saccharomycetes|o_Saccharomycetales|f_Saccharomycetaceae|g_Naumovozyma|s_Naumovozyma dairenensis	LEfSe	3	1.443251189	3.65E-11	3.65E-11	***
d_Bacteria|p_Cyanobacteria|c_NA|o_Chroococcales|f_Aphanothecaceae|g_Candidatus Atelocyanobacterium	1 - 2 - 3 - 4	d_Bacteria|p_Cyanobacteria|c_NA|o_Chroococcales|f_Aphanothecaceae|g_Candidatus Atelocyanobacterium	LEfSe	1	1.442827139	1.28E-08	1.28E-08	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micromonosporales|f_Micromonosporaceae|g_Micromonospora|s_Micromonospora echinofusca	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micromonosporales|f_Micromonosporaceae|g_Micromonospora|s_Micromonospora echinofusca	LEfSe	1	1.442731721	0.00037462	0.00037462	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Limnobacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Limnobacter	LEfSe	1	1.442531747	6.25E-08	6.25E-08	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Morganellaceae|g_Photorhabdus|s_Photorhabdus thracensis	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Morganellaceae|g_Photorhabdus|s_Photorhabdus thracensis	LEfSe	1	1.442354336	3.21E-07	3.21E-07	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Rhodobacteraceae|g_Frigidibacter	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Rhodobacteraceae|g_Frigidibacter	LEfSe	1	1.442260255	0.00012633	0.00012633	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Bradyrhizobiaceae|g_Bradyrhizobium|s_Bradyrhizobium sp. BTAi1	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Bradyrhizobiaceae|g_Bradyrhizobium|s_Bradyrhizobium sp. BTAi1	LEfSe	1	1.44224685	0.008515579	0.008515579	**
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Staphylococcaceae|g_Staphylococcus|s_Staphylococcus saprophyticus	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Staphylococcaceae|g_Staphylococcus|s_Staphylococcus saprophyticus	LEfSe	1	1.441897336	6.91E-06	6.91E-06	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces anulatus	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces anulatus	LEfSe	1	1.44186974	1.39E-05	1.39E-05	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium animalis	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium animalis	LEfSe	1	1.438907266	1.76E-05	1.76E-05	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Olleya	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Olleya	LEfSe	1	1.438801581	2.38E-06	2.38E-06	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingomonas|s_Sphingomonas sp. AAP5	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingomonas|s_Sphingomonas sp. AAP5	LEfSe	1	1.438743838	7.17E-07	7.17E-07	***
d_Bacteria|p_Cyanobacteria|c_NA|o_Oscillatoriales|f_Microcoleaceae	1 - 2 - 3 - 4	d_Bacteria|p_Cyanobacteria|c_NA|o_Oscillatoriales|f_Microcoleaceae	LEfSe	1	1.437319411	2.42E-05	2.42E-05	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium striatum	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium striatum	LEfSe	1	1.43692714	3.09E-05	3.09E-05	***
d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Nautiliales|f_Nitratiruptoraceae	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Epsilonproteobacteria|o_Nautiliales|f_Nitratiruptoraceae	LEfSe	3	1.436848274	1.02E-09	1.02E-09	***
d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Rhodobacteraceae|g_Frigidibacter|s_Frigidibacter mobilis	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Alphaproteobacteria|o_Rhodobacterales|f_Rhodobacteraceae|g_Frigidibacter|s_Frigidibacter mobilis	LEfSe	1	1.436566195	0.00012633	0.00012633	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Kluyvera	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Kluyvera	LEfSe	1	1.43594353	8.18E-06	8.18E-06	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Thiotrichales|f_Piscirickettsiaceae|g_Piscirickettsia|s_Piscirickettsia salmonis	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Thiotrichales|f_Piscirickettsiaceae|g_Piscirickettsia|s_Piscirickettsia salmonis	LEfSe	1	1.435931928	0.001078085	0.001078085	**
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Eggerthella|s_Eggerthella sp. YY7918	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Eggerthella|s_Eggerthella sp. YY7918	LEfSe	3	1.434950472	1.38E-10	1.38E-10	***
d_Bacteria|p_Planctomycetes|c_Planctomycetia|o_Gemmatales|f_Gemmataceae|g_Urbifossiella	1 - 2 - 3 - 4	d_Bacteria|p_Planctomycetes|c_Planctomycetia|o_Gemmatales|f_Gemmataceae|g_Urbifossiella	LEfSe	1	1.434375274	1.20E-07	1.20E-07	***
d_Bacteria|p_Bacteroidetes|c_Chitinophagia|o_Chitinophagales|f_Chitinophagaceae|g_Flavihumibacter|s_Flavihumibacter sp. IMCC34837	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Chitinophagia|o_Chitinophagales|f_Chitinophagaceae|g_Flavihumibacter|s_Flavihumibacter sp. IMCC34837	LEfSe	1	1.433991117	1.65E-05	1.65E-05	***
d_Bacteria|p_Bacteroidetes|c_Chitinophagia|o_Chitinophagales|f_Chitinophagaceae|g_Arachidicoccus	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Chitinophagia|o_Chitinophagales|f_Chitinophagaceae|g_Arachidicoccus	LEfSe	3	1.432004493	8.29E-10	8.29E-10	***
d_Bacteria|p_Firmicutes|c_Clostridia|o_Thermoanaerobacterales|f_Thermoanaerobacterales Family III. Incertae Sedis|g_Caldicellulosiruptor	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Clostridia|o_Thermoanaerobacterales|f_Thermoanaerobacterales Family III. Incertae Sedis|g_Caldicellulosiruptor	LEfSe	3	1.431788904	3.32E-15	3.32E-15	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella sp. H567	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella sp. H567	LEfSe	1	1.431553022	0.000410224	0.000410224	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium coyleae	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium coyleae	LEfSe	1	1.431191654	0.000175727	0.000175727	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Polaribacter|s_Polaribacter sp. KT25b	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Polaribacter|s_Polaribacter sp. KT25b	LEfSe	1	1.430498571	9.43E-06	9.43E-06	***
d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Pectobacteriaceae|g_Dickeya	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Enterobacterales|f_Pectobacteriaceae|g_Dickeya	LEfSe	3	1.430284076	8.55E-14	8.55E-14	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Enterococcus mundtii	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Enterococcaceae|g_Enterococcus|s_Enterococcus mundtii	LEfSe	3	1.430091882	4.18E-12	4.18E-12	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Oxalobacteraceae|g_Massilia|s_Massilia sp. DM-R-R2A-13	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Oxalobacteraceae|g_Massilia|s_Massilia sp. DM-R-R2A-13	LEfSe	1	1.42954952	0.000223833	0.000223833	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Riemerella|s_Riemerella anatipestifer	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Riemerella|s_Riemerella anatipestifer	LEfSe	3	1.428565463	1.73E-08	1.73E-08	***
d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Lactococcus|s_Lactococcus piscium	1 - 2 - 3 - 4	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Lactococcus|s_Lactococcus piscium	LEfSe	1	1.427602033	8.36E-08	8.36E-08	***
d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Lawsonia|s_Lawsonia intracellularis	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Lawsonia|s_Lawsonia intracellularis	LEfSe	1	1.426983078	1.60E-06	1.60E-06	***
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Flavobacterium|s_Flavobacterium sp. SLB02	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Flavobacterium|s_Flavobacterium sp. SLB02	LEfSe	3	1.426210005	3.09E-06	3.09E-06	***
d_Bacteria|p_Acidobacteria|c_Vicinamibacteria|o_Vicinamibacterales|f_Vicinamibacteraceae	1 - 2 - 3 - 4	d_Bacteria|p_Acidobacteria|c_Vicinamibacteria|o_Vicinamibacterales|f_Vicinamibacteraceae	LEfSe	1	1.425593824	1.58E-06	1.58E-06	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Bogoriellaceae|g_Georgenia|s_Georgenia yuyongxinii	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Micrococcales|f_Bogoriellaceae|g_Georgenia|s_Georgenia yuyongxinii	LEfSe	1	1.424931917	2.85E-08	2.85E-08	***
d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptosporangiales|f_Streptosporangiaceae|g_Streptosporangium|s_Streptosporangium sp. 'caverna'	1 - 2 - 3 - 4	d_Bacteria|p_Actinobacteria|c_Actinomycetia|o_Streptosporangiales|f_Streptosporangiaceae|g_Streptosporangium|s_Streptosporangium sp. 'caverna'	LEfSe	1	1.424759143	1.83E-05	1.83E-05	***
d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Spirosomaceae|g_Dyadobacter	1 - 2 - 3 - 4	d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Spirosomaceae|g_Dyadobacter	LEfSe	3	1.424510906	2.63E-08	2.63E-08	***
d_Bacteria|p_Tenericutes|c_Mollicutes|o_Mycoplasmatales|f_Mycoplasmataceae|g_Ureaplasma	1 - 2 - 3 - 4	d_Bacteria|p_Tenericutes|c_Mollicutes|o_Mycoplasmatales|f_Mycoplasmataceae|g_Ureaplasma	LEfSe	1	1.424193641	0.000222505	0.000222505	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Variovorax|s_Variovorax sp. PAMC 28711	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Variovorax|s_Variovorax sp. PAMC 28711	LEfSe	1	1.423480116	1.13E-05	1.13E-05	***
d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Polaromonas|s_Polaromonas naphthalenivorans	1 - 2 - 3 - 4	d_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Polaromonas|s_Polaromonas naphthalenivorans	LEfSe	1	1.421412187	0.001069806	0.001069806	**
